"No","Date","col1","col2","col3","col4","col5","col6","col7","col8","col9","col10","col11","sp500"
"1","2014-03-27",39.36,49.1,537.46,558.46,96.24,185200,123.47,60.97,97.28,338.47,25.81,1849.040039
"2","2014-03-28",40.3,49.29,536.86,559.99,97.7,185149,123.53,60.01,97.44,338.29,25.88,1857.619995
"3","2014-03-31",40.99,49.74,536.74,556.97,97.68,187350,124.97,60.24,98.23,336.365,25.89,1872.339966
"4","2014-04-01",41.42,49.77,541.65,567.16,97.73,187213,124.88,62.62,97.94,342.99,25.87,1885.52002
"5","2014-04-02",41.35,49.76,542.55,567,97.95,186759,124.47,62.72,98.23,341.96,26.04,1890.900024
"6","2014-04-03",41.01,49.83,538.79,569.74,97.93,186287,124.31,59.49,98.26,333.62,26.23,1888.77002
"7","2014-04-04",39.87,49.56,531.82,543.14,97.36,185753,123.9,56.749,98.42,323,26.02,1865.089966
"8","2014-04-07",39.8,48.66,523.47,538.15,96.78,184700,123.12,56.95,97.89,317.76,25.85,1845.040039
"9","2014-04-08",39.82,48.83,523.44,554.9,97.45,184640,123.13,58.1901,98.06,327.07,25.75,1851.959961
"10","2014-04-09",40.47,49.1,530.32,564.14,97.33,185897,124.01,62.41,98.95,331.805,25.95,1872.180054
"11","2014-04-10",39.36,47.71,523.48,540.95,96.78,183402,122.27,59.16,96.54,317.11,25.58,1833.079956
"12","2014-04-11",39.209,48.08,519.61,530.6,96.72,182759,121.7,58.53,96.87,311.73,25.43,1815.689941
"13","2014-04-14",39.18,48.11,521.68,532.52,97.86,183212,122.29,58.89,97.14,315.91,25.71,1830.609985
"14","2014-04-15",39.75,48.78,517.9599,536.44,98.68,185640,123.77,59.09,99.2,316.08,25.82,1842.97998
"15","2014-04-16",40.4,49.09,519.01,556.54,99.94,188900,126,59.72,98.75,323.68,26.12,1862.310059
"16","2014-04-17",40.01,48.93,524.94,536.1,100.42,190639,127.18,58.94,98.96,324.91,26.56,1864.849976
"17","2014-04-21",39.94,49.12,531.17,528.62,100.93,189482,126.5,61.24,100,330.87,26.59,1871.890015
"18","2014-04-22",39.99,49.23,531.699,534.81,100.37,190720,127.15,63.0301,100.18,329.32,26.58,1879.550049
"19","2014-04-23",39.69,49.59,524.75,526.94,100.5,190800,127.2,61.36,100.22,324.58,26.42,1875.390015
"20","2014-04-24",39.86,49.32,567.77,525.16,100.01,190500,126.95,60.87,99.96,337.15,26.46,1878.609985
"21","2014-04-25",39.91,49.05,571.94,516.18,100.41,190686,127.26,57.71,99.79,303.83,26.6,1863.400024
"22","2014-04-28",40.87,48.94,594.09,517.15,101.17,191400,127.7,56.14,101.34,296.58,26.78,1869.430054
"23","2014-04-29",40.51,49.47,592.33,527.7,101.45,192545,128.49,58.15,101.03,300.38,26.76,1878.329956
"24","2014-04-30",40.4,49.64,590.09,526.66,102.41,193275,128.85,59.78,101.29,304.13,26.89,1883.949951
"25","2014-05-01",40,49.64,591.48,531.35,101.41,193482,129.06,61.15,100.53,307.89,26.77,1883.680054
"26","2014-05-02",39.69,49.58,592.58,527.93,102.01,192255,128.09,60.46,99.31,308.01,26.68,1881.140015
"27","2014-05-05",39.43,49.56,600.96,527.81,102.91,189790,126.61,61.22,100,310.05,26.58,1884.660034
"28","2014-05-06",39.06,49.09,594.41,515.14,102.67,187375,124.67,58.53,99.51,297.38,26.19,1867.719971
"29","2014-05-07",39.425,49.39,592.33,509.96,103.11,191550,127.45,57.39,100.91,292.71,26.53,1878.209961
"30","2014-05-08",39.64,49.33,587.99,511,102.32,190100,126.67,56.76,100.5,288.32,26.44,1875.630005
"31","2014-05-09",39.54,49.08,585.5425,518.73,101.95,190883,127.34,57.24,100.91,292.24,26.42,1878.47998
"32","2014-05-12",39.97,49.76,592.83,529.92,102.23,191115,127.29,59.83,100.52,302.86,26.85,1896.650024
"33","2014-05-13",40.42,49.81,593.76,533.09,102.36,191826,127.89,59.83,101.02,304.64,26.92,1897.449951
"34","2014-05-14",40.24,49.29,593.87,526.65,102.29,191420,127.53,59.23,100.87,297.62,26.76,1888.530029
"35","2014-05-15",39.6,49.03,588.82,519.98,100.78,189371,126.36,57.919,100.69,295.19,26.6,1870.849976
"36","2014-05-16",39.83,49.08,597.51,520.63,100.74,190210,126.86,58.0199,100.58,297.7,26.67,1877.859985
"37","2014-05-19",39.75,49.49,604.59,528.86,100.87,190400,127.13,59.21,100.64,296.755,26.61,1885.079956
"38","2014-05-20",39.68,48.96,604.71,529.77,100.67,189201,126.06,58.56,100.25,301.19,26.3,1872.829956
"39","2014-05-21",40.35,49.67,606.31,538.94,102.03,189975,126.66,60.49,101.14,305.01,26.49,1888.030029
"40","2014-05-22",40.1,49.99,607.27,545.06,101.5,190535,126.98,60.52,100.96,304.91,26.51,1892.48999
"41","2014-05-23",40.12,50.16,614.13,552.7,101.32,190205,126.8,61.351,100.98,312.24,26.51,1900.530029
"42","2014-05-27",40.19,50.55,625.63,565.95,101.36,191300,127.52,63.48,100.81,310.82,26.57,1911.910034
"43","2014-05-28",40.01,50.44,624.01,561.68,101.06,191356,127.46,63.51,100.3,310.16,26.66,1909.780029
"44","2014-05-29",40.34,50.27,635.38,560.08,101.27,192300,128.11,63.83,100.76,313.78,26.74,1920.030029
"45","2014-05-30",40.94,50.78,633,559.89,100.53,192000,128.34,63.3,101.46,312.55,26.79,1923.569946
"46","2014-06-02",40.79,51.09,628.65,553.93,99.94,191748,127.88,63.08,102.17,308.84,26.83,1924.969971
"47","2014-06-03",40.29,51.09,637.54,544.94,100.39,190417,126.93,62.87,102.46,307.19,26.79,1924.23999
"48","2014-06-04",40.32,51.04,644.82,544.66,100.04,190766,127.23,63.34,102.68,306.78,26.55,1927.880005
"49","2014-06-05",41.21,51.63,647.35,553.9,100.55,192100,128.2,63.186,103.22,323.57,26.77,1940.459961
"50","2014-06-06",41.48,51.98,645.57,556.33,101.6,192895,128.65,62.5,103.18,329.67,27.18,1949.439941
"51","2014-06-09",41.27,52.51,93.7,562.12,101.52,191917,127.99,62.88,103.22,327.5,27.44,1951.27002
"52","2014-06-10",41.11,52.59,94.25,560.55,101.46,192306,128.25,65.77,104.1,332.41,27.41,1950.790039
"53","2014-06-11",40.86,52.24,93.86,558.84,101.95,192357,128.22,65.781,103.32,335.2,27.15,1943.890015
